"organism" "group" "size" "GC" "habitat" "temp.group" "temperature"
"23" "Alcanivorax borkumensis SK2" "Gammaproteobacteria" 3.1 54.7 "Aquatic" "Mesophilic" NA
"24" "Aliivibrio salmonicida LFI1238" "Gammaproteobacteria" 4.54 39 "Aquatic" "Psychrophilic" NA
"25" "Alkaliphilus metalliredigens QYMF" "Firmicutes" 4.9 36.8 "Specialized" "Mesophilic" NA
"26" "Alkaliphilus oremlandii OhILAs" "Firmicutes" 3.1 36.3 "Aquatic" "Mesophilic" NA
"27" "Alteromonas macleodii Deep ecotype" "Gammaproteobacteria" 4.4 44.9 "Aquatic" "Mesophilic" NA
"28" "Anaeromyxobacter dehalogenans 2CP-C" "Deltaproteobacteria" 5 74.9 "Terrestrial" "Mesophilic" 30
"29" "Anaeromyxobacter sp. K" "Deltaproteobacteria" 5.1 74.8 "Terrestrial" "Mesophilic" NA
"30" "Anaplasma marginale str. St. Maries" "Alphaproteobacteria" 1.2 49.8 "Host-associated" "Mesophilic" NA
"31" "Anaplasma phagocytophilum HZ" "Alphaproteobacteria" 1.47 41.6 "Host-associated" "Mesophilic" 37
"32" "Anoxybacillus flavithermus WK1" "Firmicutes" 2.8 41.8 "Specialized" "Thermophilic" 62.5
"33" "Aquifex aeolicus VF5" "Aquificae" 1.59 43.3 "Specialized" "Hyperthermophilic" 96
"34" "Archaeoglobus fulgidus DSM 4304" "Euryarchaeota" 2.18 48.6 "Aquatic" "Hyperthermophilic" 83
"35" "Arcobacter butzleri RM4018" "Epsilonproteobacteria" 2.3 27 "Multiple" "Mesophilic" NA
"36" "Aromatoleum aromaticum EbN1" "Betaproteobacteria" 4.73 64.7 "Terrestrial" "Mesophilic" 26
"37" "Arthrobacter aurescens TC1" "Actinobacteria" 5.23 62.4 "Terrestrial" "Mesophilic" 30
"38" "Arthrobacter sp. FB24" "Actinobacteria" 5.08 65.4 "Terrestrial" "Mesophilic" NA
"39" "Aster yellows witches-broom phytoplasma AYWB" "Firmicutes" 0.73 26.8 "Host-associated" "Mesophilic" NA
"40" "Azoarcus sp. BH72" "Betaproteobacteria" 4.4 67.9 "Host-associated" "Mesophilic" NA
"41" "Bacillus amyloliquefaciens FZB42" "Firmicutes" 3.9 46.5 "Terrestrial" "Mesophilic" NA
"42" "Bacillus anthracis str. Ames" "Firmicutes" 5.23 35.4 "Multiple" "Mesophilic" NA
"43" "Bacillus anthracis str. Ames Ancestor" "Firmicutes" 5.5 35.2 "Terrestrial" "Mesophilic" NA
"44" "Bacillus anthracis str. Sterne" "Firmicutes" 5.23 35.4 "Multiple" "Mesophilic" NA
"45" "Bacillus cereus ATCC 10987" "Firmicutes" 5.43 35.5 "Terrestrial" "Mesophilic" 30
"46" "Bacillus cereus ATCC 14579" "Firmicutes" 5.42 35.3 "Terrestrial" "Mesophilic" 30
"47" "Bacillus cereus E33L" "Firmicutes" 5.85 35.1 "Terrestrial" "Mesophilic" 30
"48" "Bacillus cereus subsp. cytotoxis NVH 391-98" "Firmicutes" 4.11 35.9 "Terrestrial" "Mesophilic" NA
"49" "Bacillus clausii KSM-K16" "Firmicutes" 4.3 44.8 "Specialized" "Mesophilic" NA
"50" "Bacillus halodurans C-125" "Firmicutes" 4.2 43.7 "Multiple" "Mesophilic" NA
"51" "Bacillus licheniformis ATCC 14580" "Firmicutes" 4.2 46.2 "Terrestrial" "Mesophilic" NA
"52" "Bacillus pumilus SAFR-032" "Firmicutes" 3.7 41.3 "Terrestrial" "Mesophilic" NA
"53" "Bacillus subtilis subsp. subtilis str. 168" "Firmicutes" 4.2 43.5 "Terrestrial" "Mesophilic" 30
"54" "Bacillus thuringiensis serovar konkukian str. 97-27" "Firmicutes" 5.28 35.4 "Multiple" "Mesophilic" NA
"55" "Bacillus thuringiensis str. Al Hakam" "Firmicutes" 5.36 35.4 "Multiple" "Mesophilic" NA
"56" "Bacillus weihenstephanensis KBAB4" "Firmicutes" 5.91 35.5 "Terrestrial" "Mesophilic" NA
"57" "Bacteroides fragilis NCTC 9343" "Bacteroidetes/Chlorobi" 5.24 43.1 "Host-associated" "Mesophilic" 37
"58" "Bacteroides fragilis YCH46" "Bacteroidetes/Chlorobi" 5.31 43.2 "Host-associated" "Mesophilic" 37
"59" "Bacteroides thetaiotaomicron VPI-5482" "Bacteroidetes/Chlorobi" 6.33 42.9 "Host-associated" "Mesophilic" NA
"60" "Bacteroides vulgatus ATCC 8482" "Bacteroidetes/Chlorobi" 5.2 42.2 "Host-associated" "Mesophilic" NA
"61" "Bartonella bacilliformis KC583" "Alphaproteobacteria" 1.4 38.2 "Host-associated" "Mesophilic" 28
"62" "Bartonella henselae str. Houston-1" "Alphaproteobacteria" 1.93 38.2 "Host-associated" "Mesophilic" 37
"63" "Bartonella quintana str. Toulouse" "Alphaproteobacteria" 1.58 38.8 "Host-associated" "Mesophilic" 37
"64" "Bartonella tribocorum CIP 105476" "Alphaproteobacteria" 2.62 38.8 "Host-associated" "Mesophilic" NA
"65" "Bdellovibrio bacteriovorus HD100" "Deltaproteobacteria" 3.8 50.6 "Multiple" "Mesophilic" 29
"66" "Beijerinckia indica subsp. indica ATCC 9039" "Alphaproteobacteria" 4.45 57 "" "Mesophilic" 25
"67" "Bifidobacterium adolescentis ATCC 15703" "Actinobacteria" 2.1 59.2 "Host-associated" "Mesophilic" 37
"68" "Bifidobacterium longum DJO10A" "Actinobacteria" 2.41 60.2 "Host-associated" "Mesophilic" 39
"69" "Bifidobacterium longum NCC2705" "Actinobacteria" 2.26 60.1 "Host-associated" "Mesophilic" 39
"70" "Bordetella avium 197N" "Betaproteobacteria" 3.7 61.6 "Host-associated" "Mesophilic" 36
"71" "Bordetella bronchiseptica RB50" "Betaproteobacteria" 5.3 68.1 "Host-associated" "Mesophilic" 36
"72" "Bordetella parapertussis 12822" "Betaproteobacteria" 4.77 68.1 "Host-associated" "Mesophilic" 36
"73" "Bordetella pertussis Tohama I" "Betaproteobacteria" 4.09 67.7 "Host-associated" "Mesophilic" 36
"74" "Bordetella petrii DSM 12804" "Betaproteobacteria" 5.3 65.5 "Aquatic" "Mesophilic" NA
"75" "Borrelia afzelii PKo" "Spirochaetes" 1.24 27.8 "Host-associated" "Mesophilic" NA
"76" "Borrelia burgdorferi B31" "Spirochaetes" 1.52 28.2 "Host-associated" "Mesophilic" NA
"77" "Borrelia duttonii Ly" "Spirochaetes" 1.57 28 "Host-associated" "Psychrophilic" NA
"78" "Borrelia garinii PBi" "Spirochaetes" 0.98 28.1 "Host-associated" "Mesophilic" NA
"79" "Borrelia hermsii DAH" "Spirochaetes" 0.92 29.8 "Host-associated" "Mesophilic" NA
"80" "Borrelia recurrentis A1" "Spirochaetes" 1.24 27.5 "Host-associated" "Mesophilic" NA
"81" "Borrelia turicatae 91E135" "Spirochaetes" 0.92 29.1 "Host-associated" "Mesophilic" NA
"82" "Bradyrhizobium japonicum USDA 110" "Alphaproteobacteria" 9.1 64.1 "Host-associated" "Mesophilic" 27.5
"83" "Bradyrhizobium sp. BTAi1" "Alphaproteobacteria" 8.53 64.8 "Host-associated" "Mesophilic" NA
"84" "Bradyrhizobium sp. ORS278" "Alphaproteobacteria" 7.5 65.5 "Host-associated" "Mesophilic" NA
"85" "Brucella abortus bv. 1 str. 9-941" "Alphaproteobacteria" 3.29 57.2 "Host-associated" "Mesophilic" 37
"86" "Brucella abortus S19" "Alphaproteobacteria" 3.3 57.2 "Multiple" "Mesophilic" 37
"87" "Brucella melitensis 16M" "Alphaproteobacteria" 3.29 57.2 "Host-associated" "Mesophilic" 37
"88" "Brucella melitensis biovar Abortus 2308" "Alphaproteobacteria" 3.28 57.2 "Host-associated" "Mesophilic" NA
"89" "Brucella ovis ATCC 25840" "Alphaproteobacteria" 3.3 57.2 "Host-associated" "Mesophilic" 37
"90" "Brucella suis 1330" "Alphaproteobacteria" 3.32 57.3 "Host-associated" "Mesophilic" 37
"91" "Brucella suis ATCC 23445" "Alphaproteobacteria" 3.3 57.2 "Host-associated" "Mesophilic" 37
"92" "Buchnera aphidicola str. APS (Acyrthosiphon pisum)" "Gammaproteobacteria" 0.66 26.4 "Host-associated" "Mesophilic" NA
"93" "Buchnera aphidicola str. Bp (Baizongia pistaciae)" "Gammaproteobacteria" 0.62 25.3 "Host-associated" "Mesophilic" NA
"94" "Buchnera aphidicola str. Cc (Cinara cedri)" "Gammaproteobacteria" 0.42 20.1 "Host-associated" "Mesophilic" NA
"95" "Buchnera aphidicola str. Sg (Schizaphis graminum)" "Gammaproteobacteria" 0.64 25.3 "Host-associated" "Mesophilic" NA
"96" "Burkholderia ambifaria AMMD" "Betaproteobacteria" 7.53 66.8 "Multiple" "Mesophilic" 36
"97" "Burkholderia ambifaria MC40-6" "Betaproteobacteria" 7.6 66.4 "Multiple" "Mesophilic" NA
"98" "Burkholderia cenocepacia MC0-3" "Betaproteobacteria" 7.9 66.6 "Multiple" "Mesophilic" NA
"99" "Burkholderia mallei ATCC 23344" "Betaproteobacteria" 5.83 68.5 "Host-associated" "Mesophilic" NA
"100" "Burkholderia mallei NCTC 10229" "Betaproteobacteria" 5.8 68.5 "Host-associated" "Mesophilic" NA
"101" "Burkholderia mallei NCTC 10247" "Betaproteobacteria" 5.9 68.5 "Host-associated" "Mesophilic" NA
"102" "Burkholderia mallei SAVP1" "Betaproteobacteria" 5.2 68.4 "Host-associated" "Mesophilic" NA
"103" "Burkholderia multivorans ATCC 17616" "Betaproteobacteria" 6.99 66.7 "Host-associated" "Mesophilic" 37
"104" "Burkholderia phymatum STM815" "Betaproteobacteria" 8.7 62.3 "Host-associated" "Mesophilic" NA
"105" "Burkholderia phytofirmans PsJN" "Betaproteobacteria" 8.22 62.3 "Terrestrial" "Mesophilic" 30
"106" "Burkholderia pseudomallei 1106a" "Betaproteobacteria" 7.1 68.3 "Terrestrial" "Mesophilic" NA
"107" "Burkholderia pseudomallei 1710b" "Betaproteobacteria" 7.31 68 "Terrestrial" "Mesophilic" NA
"108" "Burkholderia pseudomallei 668" "Betaproteobacteria" 7 68.3 "Terrestrial" "Mesophilic" NA
"109" "Burkholderia pseudomallei K96243" "Betaproteobacteria" 7.3 68.1 "Terrestrial" "Mesophilic" NA
"110" "Burkholderia thailandensis E264" "Betaproteobacteria" 6.72 67.6 "Terrestrial" "Mesophilic" 33.5
"111" "Burkholderia xenovorans LB400" "Betaproteobacteria" 9.8 62.6 "Multiple" "Mesophilic" 30
"112" "Caldicellulosiruptor saccharolyticus DSM 8903" "Other Bacteria" 3 35.3 "Specialized" "Thermophilic" NA
"113" "Caldivirga maquilingensis IC-167" "Crenarchaeota" 2.1 43.1 "Specialized" "Hyperthermophilic" 85
"114" "Campylobacter concisus 13826" "Epsilonproteobacteria" 2.15 39.3 "Host-associated" "Mesophilic" NA
"115" "Campylobacter curvus 525.92" "Epsilonproteobacteria" 2 44.5 "Host-associated" "Mesophilic" NA
"116" "Campylobacter fetus subsp. fetus 82-40" "Epsilonproteobacteria" 1.8 33.3 "Host-associated" "Mesophilic" NA
"117" "Campylobacter hominis ATCC BAA-381" "Epsilonproteobacteria" 1.7 31.7 "Host-associated" "Mesophilic" 37
"118" "Campylobacter jejuni RM1221" "Epsilonproteobacteria" 1.8 30.3 "Multiple" "Mesophilic" NA
"119" "Campylobacter jejuni subsp. doylei 269.97" "Epsilonproteobacteria" 1.8 30.6 "Multiple" "Mesophilic" NA
"120" "Campylobacter jejuni subsp. jejuni 81116" "Epsilonproteobacteria" 1.6 30.5 "Multiple" "Mesophilic" NA
"121" "Campylobacter jejuni subsp. jejuni 81-176" "Epsilonproteobacteria" 1.68 30.5 "Multiple" "Mesophilic" NA
"122" "Campylobacter jejuni subsp. jejuni NCTC 11168" "Epsilonproteobacteria" 1.6 30.5 "Multiple" "Mesophilic" NA
"123" "Candidatus Blochmannia floridanus" "Gammaproteobacteria" 0.71 27.4 "Host-associated" "Mesophilic" NA
"124" "Candidatus Methanoregula boonei 6A8" "Euryarchaeota" 2.5 54.5 "Terrestrial" "Mesophilic" 37
"125" "Candidatus Pelagibacter ubique HTCC1062" "Alphaproteobacteria" 1.3 29.7 "Aquatic" "Mesophilic" NA
"126" "Candidatus Phytoplasma australiense" "Firmicutes" 0.88 27.4 "Host-associated" "Mesophilic" NA
"127" "Candidatus Phytoplasma mali" "Other Bacteria" 0.6 21.4 "Host-associated" "Mesophilic" NA
"128" "Candidatus Protochlamydia amoebophila UWE25" "Chlamydiae/Verrucomicrobia" 2.41 34.7 "Host-associated" "Mesophilic" NA
"129" "Candidatus Vesicomyosocius okutanii HA" "Gammaproteobacteria" 1 31.6 "Host-associated" "Mesophilic" NA
"130" "Carboxydothermus hydrogenoformans Z-2901" "Firmicutes" 2.4 42 "Aquatic" "Hyperthermophilic" 78
"131" "Caulobacter crescentus CB15" "Alphaproteobacteria" 4 67.2 "Aquatic" "Mesophilic" 35
"132" "Caulobacter sp. K31" "Alphaproteobacteria" 5.91 67.3 "Aquatic" "Mesophilic" NA
"133" "Cellvibrio japonicus Ueda107" "Gammaproteobacteria" 4.6 52 "Terrestrial" "Mesophilic" NA
"134" "Chlamydia muridarum Nigg" "Chlamydiae/Verrucomicrobia" 1.08 40.3 "Host-associated" "Mesophilic" 37
"135" "Chlamydia trachomatis 434/Bu" "Chlamydiae/Verrucomicrobia" 1 41.3 "Host-associated" "Mesophilic" NA
"136" "Chlamydia trachomatis A/HAR-13" "Chlamydiae/Verrucomicrobia" 1.01 41.3 "Host-associated" "Mesophilic" NA
"137" "Chlamydia trachomatis D/UW-3/CX" "Chlamydiae/Verrucomicrobia" 1.04 41.3 "Host-associated" "Mesophilic" 37
"138" "Chlamydia trachomatis L2b/UCH-1/proctitis" "Chlamydiae/Verrucomicrobia" 1 41.3 "Host-associated" "Mesophilic" NA
"139" "Chlamydophila abortus S26/3" "Chlamydiae/Verrucomicrobia" 1.14 39.9 "Host-associated" "Mesophilic" 37
"140" "Chlamydophila caviae GPIC" "Chlamydiae/Verrucomicrobia" 1.18 39.2 "Host-associated" "Mesophilic" 37
"141" "Chlamydophila felis Fe/C-56" "Chlamydiae/Verrucomicrobia" 1.21 39.3 "Host-associated" "Mesophilic" 37
"142" "Chlamydophila pneumoniae AR39" "Chlamydiae/Verrucomicrobia" 1.23 40.6 "Host-associated" "Mesophilic" 37
"143" "Chlamydophila pneumoniae CWL029" "Chlamydiae/Verrucomicrobia" 1.2 40.6 "Host-associated" "Mesophilic" 37
"144" "Chlamydophila pneumoniae J138" "Chlamydiae/Verrucomicrobia" 1.2 40.6 "Host-associated" "Mesophilic" 37
"145" "Chlamydophila pneumoniae TW-183" "Chlamydiae/Verrucomicrobia" 1.23 40.6 "Host-associated" "Mesophilic" 37
"146" "Chlorobaculum parvum NCIB 8327" "Bacteroidetes/Chlorobi" 2.3 55.8 "Aquatic" "Mesophilic" NA
"147" "Chlorobium chlorochromatii CaD3" "Bacteroidetes/Chlorobi" 2.6 44.3 "Aquatic" "Mesophilic" NA
"148" "Chlorobium limicola DSM 245" "Bacteroidetes/Chlorobi" 2.8 51.3 "Aquatic" "Mesophilic" NA
"149" "Chlorobium phaeobacteroides BS1" "Bacteroidetes/Chlorobi" 2.7 48.9 "Aquatic" "Mesophilic" NA
"150" "Chlorobium phaeobacteroides DSM 266" "Bacteroidetes/Chlorobi" 3.1 48.4 "Aquatic" "Mesophilic" NA
"151" "Chlorobium phaeovibrioides DSM 265" "Bacteroidetes/Chlorobi" 2 53 "Aquatic" "Mesophilic" NA
"152" "Chlorobium tepidum TLS" "Bacteroidetes/Chlorobi" 2.15 56.5 "Specialized" "Thermophilic" 48
"153" "Chloroflexus aurantiacus J-10-fl" "Chloroflexi" 5.3 56.7 "Specialized" "Thermophilic" 56
"154" "Chloroherpeton thalassium ATCC 35110" "Bacteroidetes/Chlorobi" 3.3 45 "Aquatic" "Mesophilic" NA
"155" "Chromobacterium violaceum ATCC 12472" "Betaproteobacteria" 4.8 64.8 "Multiple" "Mesophilic" 25
"156" "Chromohalobacter salexigens DSM 3043" "Gammaproteobacteria" 3.7 63.9 "Specialized" "Mesophilic" 37
"157" "Citrobacter koseri ATCC BAA-895" "Gammaproteobacteria" 4.71 53.8 "Multiple" "Mesophilic" NA
"158" "Clavibacter michiganensis subsp. michiganensis NCPPB 382" "Actinobacteria" 3.4 72.5 "Multiple" "Mesophilic" 26.5
"159" "Clavibacter michiganensis subsp. sepedonicus" "Actinobacteria" 3.44 72.4 "Multiple" "Mesophilic" 26.5
"160" "Clostridium acetobutylicum ATCC 824" "Firmicutes" 4.13 30.9 "Multiple" "Mesophilic" 37.5
"161" "Clostridium beijerinckii NCIMB 8052" "Firmicutes" 6 29.9 "" "Mesophilic" NA
"162" "Clostridium botulinum A str. ATCC 19397" "Firmicutes" 3.9 28.2 "Multiple" "Mesophilic" 37
"163" "Clostridium botulinum A str. ATCC 3502" "Firmicutes" 3.92 28.2 "Multiple" "Mesophilic" 37
"164" "Clostridium botulinum A str. Hall" "Firmicutes" 3.8 28.2 "Multiple" "Mesophilic" 37
"165" "Clostridium botulinum A3 str. Loch Maree" "Firmicutes" 4.27 28.1 "Multiple" "Mesophilic" 37
"166" "Clostridium botulinum B str. Eklund 17B" "Firmicutes" 3.85 27.5 "Multiple" "Mesophilic" 37
"167" "Clostridium botulinum B1 str. Okra" "Firmicutes" 4.15 28.2 "Multiple" "Mesophilic" 37
"168" "Clostridium botulinum E3 str. Alaska E43" "Firmicutes" 3.7 27.4 "Multiple" "Mesophilic" 30
"169" "Clostridium botulinum F str. Langeland" "Firmicutes" 4.02 28.3 "Multiple" "Mesophilic" 37
"170" "Clostridium difficile 630" "Firmicutes" 4.31 29.1 "Multiple" "Mesophilic" 37
"171" "Clostridium kluyveri DSM 555" "Firmicutes" 4.06 32 "Aquatic" "Mesophilic" NA
"172" "Clostridium perfringens ATCC 13124" "Firmicutes" 3.3 28.4 "Multiple" "Mesophilic" 37
"173" "Clostridium perfringens SM101" "Firmicutes" 2.9 28.2 "Multiple" "Mesophilic" 37
"174" "Clostridium perfringens str. 13" "Firmicutes" 3.05 28.5 "Multiple" "Mesophilic" 37
"175" "Clostridium phytofermentans ISDg" "Firmicutes" 4.8 35.3 "Terrestrial" "Mesophilic" 37
"176" "Clostridium tetani E88" "Firmicutes" 2.87 28.6 "Multiple" "Mesophilic" 37
"177" "Clostridium thermocellum ATCC 27405" "Firmicutes" 3.8 39 "Multiple" "Thermophilic" 60
"178" "Colwellia psychrerythraea 34H" "Gammaproteobacteria" 5.37 38 "Specialized" "Psychrophilic" 8
"179" "Coprothermobacter proteolyticus DSM 5265" "Firmicutes" 1.4 44.8 "Specialized" "Thermophilic" 63
"180" "Corynebacterium diphtheriae NCTC 13129" "Actinobacteria" 2.49 53.5 "Host-associated" "Mesophilic" 37
"181" "Corynebacterium efficiens YS-314" "Actinobacteria" 3.15 63.1 "Multiple" "Mesophilic" 37.5
"182" "Corynebacterium glutamicum ATCC 13032" "Actinobacteria" 3.3 53.8 "Multiple" "Mesophilic" 35
"183" "Corynebacterium glutamicum R" "Actinobacteria" 3.35 54.1 "Multiple" "Mesophilic" 35
"184" "Corynebacterium jeikeium K411" "Actinobacteria" 2.48 61.4 "Multiple" "Mesophilic" NA
"185" "Corynebacterium urealyticum DSM 7109" "Actinobacteria" 2.37 64.2 "Host-associated" "Mesophilic" NA
"186" "Coxiella burnetii CbuG_Q212" "Gammaproteobacteria" 2 42.6 "Multiple" "Mesophilic" NA
"187" "Coxiella burnetii CbuK_Q154" "Gammaproteobacteria" 2.14 42.6 "Multiple" "Mesophilic" NA
"188" "Coxiella burnetii Dugway 5J108-111" "Gammaproteobacteria" 2.25 42.4 "Host-associated" "Mesophilic" 37
"189" "Coxiella burnetii RSA 331" "Gammaproteobacteria" 2.04 42.7 "Multiple" "Mesophilic" NA
"190" "Coxiella burnetii RSA 493" "Gammaproteobacteria" 2.03 42.6 "Multiple" "Mesophilic" 37
"191" "Cupriavidus taiwanensis" "Betaproteobacteria" 6.46 67 "Host-associated" "Mesophilic" NA
"192" "Cyanothece sp. ATCC 51142" "Cyanobacteria" 5.43 37.9 "Aquatic" "Mesophilic" NA
"193" "Cytophaga hutchinsonii ATCC 33406" "Bacteroidetes/Chlorobi" 4.4 38.8 "Multiple" "Mesophilic" 30
"194" "Dehalococcoides ethenogenes 195" "Chloroflexi" 1.47 48.9 "Multiple" "Mesophilic" 35
"195" "Dehalococcoides sp. CBDB1" "Chloroflexi" 1.4 47 "Multiple" "Mesophilic" NA
"196" "Deinococcus geothermalis DSM 11300" "Deinococcus-Thermus" 3.25 66.5 "Aquatic" "Mesophilic" 47
"197" "Deinococcus radiodurans R1" "Deinococcus-Thermus" 3.24 66.6 "Terrestrial" "Mesophilic" 33.5
"198" "Delftia acidovorans SPH-1" "Betaproteobacteria" 6.8 66.5 "Multiple" "Mesophilic" 30
"199" "Desulfitobacterium hafniense Y51" "Firmicutes" 5.73 47.4 "Specialized" "Mesophilic" NA
"200" "Desulfococcus oleovorans Hxd3" "Deltaproteobacteria" 3.9 56.2 "Aquatic" "Mesophilic" NA
"201" "Desulfotalea psychrophila LSv54" "Deltaproteobacteria" 3.64 46.6 "Specialized" "Psychrophilic" 7
"202" "Desulfotomaculum reducens MI-1" "Firmicutes" 3.6 42.3 "Aquatic" "Mesophilic" 37
"203" "Desulfovibrio desulfuricans subsp. desulfuricans str. G20" "Deltaproteobacteria" 3.73 57.8 "Multiple" "Mesophilic" 32.5
"204" "Desulfovibrio vulgaris DP4" "Deltaproteobacteria" 3.7 63.2 "Multiple" "Mesophilic" NA
"205" "Desulfovibrio vulgaris str. Hildenborough" "Deltaproteobacteria" 3.8 63.3 "Multiple" "Mesophilic" 32.5
"206" "Dichelobacter nodosus VCS1703A" "Gammaproteobacteria" 1.4 44.4 "Host-associated" "Mesophilic" 37
"207" "Dictyoglomus thermophilum H-6-12" "Other Bacteria" 2 33.7 "Aquatic" "Thermophilic" 78
"208" "Dinoroseobacter shibae DFL 12" "Alphaproteobacteria" 4.43 65.5 "" "Mesophilic" 33
"209" "Ehrlichia ruminantium str. Gardel" "Alphaproteobacteria" 1.5 27.5 "Host-associated" "Mesophilic" NA
"210" "Ehrlichia ruminantium str. Welgevonden" "Alphaproteobacteria" 1.52 27.5 "Host-associated" "Mesophilic" NA
"211" "Elusimicrobium minutum Pei191" "Other Bacteria" 1.6 40 "Host-associated" "Mesophilic" NA
"212" "Enterobacter sakazakii ATCC BAA-894" "Gammaproteobacteria" 4.56 56.7 "Host-associated" "Mesophilic" 37
"213" "Enterococcus faecalis V583" "Firmicutes" 3.36 37.4 "Multiple" "Mesophilic" 37
"214" "Erwinia tasmaniensis" "Gammaproteobacteria" 4.08 53.4 "Host-associated" "Mesophilic" NA
"215" "Escherichia coli 536" "Gammaproteobacteria" 4.9 50.5 "Host-associated" "Mesophilic" NA
"216" "Escherichia coli APEC O1" "Gammaproteobacteria" 5.51 50.3 "Host-associated" "Mesophilic" NA
"217" "Escherichia coli ATCC 8739" "Gammaproteobacteria" 4.7 50.9 "Host-associated" "Mesophilic" NA
"218" "Escherichia coli CFT073" "Gammaproteobacteria" 5.2 50.5 "Host-associated" "Mesophilic" 37
"219" "Escherichia coli E24377A" "Gammaproteobacteria" 5.27 50.6 "Host-associated" "Mesophilic" 37
"220" "Escherichia coli HS" "Gammaproteobacteria" 4.6 50.8 "Host-associated" "Mesophilic" 37
"221" "Escherichia coli O157:H7 EDL933" "Gammaproteobacteria" 5.59 50.3 "Host-associated" "Mesophilic" 30
"222" "Escherichia coli O157:H7 str. EC4115" "Gammaproteobacteria" 5.73 50.4 "Multiple" "Mesophilic" 37
"223" "Escherichia coli O157:H7 str. Sakai" "Gammaproteobacteria" 5.6 50.5 "Host-associated" "Mesophilic" 37
"224" "Escherichia coli SE11" "Gammaproteobacteria" 5.17 50.7 "Host-associated" "Mesophilic" 37
"225" "Escherichia coli SMS-3-5" "Gammaproteobacteria" 5.25 50.5 "Multiple" "Mesophilic" 37
"226" "Escherichia coli str. K12 substr. DH10B" "Gammaproteobacteria" 4.7 50.8 "Host-associated" "Mesophilic" 37
"227" "Escherichia coli str. K12 substr. MG1655" "Gammaproteobacteria" 4.6 50.8 "Host-associated" "Mesophilic" 37
"228" "Escherichia coli str. K12 substr. W3110" "Gammaproteobacteria" 4.65 50.8 "Host-associated" "Mesophilic" 37
"229" "Escherichia coli UTI89" "Gammaproteobacteria" 5.21 50.6 "Host-associated" "Mesophilic" NA
"230" "Exiguobacterium sibiricum 255-15" "Firmicutes" 3.01 47.7 "Specialized" "Psychrophilic" NA
"231" "Fervidobacterium nodosum Rt17-B1" "Thermotogae" 1.9 35 "Specialized" "Thermophilic" 70
"232" "Finegoldia magna ATCC 29328" "Firmicutes" 1.99 32.1 "Multiple" "Mesophilic" NA
"233" "Flavobacterium johnsoniae UW101" "Bacteroidetes/Chlorobi" 6.1 34.1 "Multiple" "Mesophilic" 25
